Date,Day,Person,Core,Layer,Treatment,Weight_No_Top_Cap_g,time_capped,time_elapsed_hours,time_elapsed_minutes,time_sampled,EGM_Sample,CO2_ppm,Notes,ambient_air_ppm
3/13/2021,Saturday,Jillian,7B,organic bottom ,2,,13:15,1:12:00,72,14:27,22,1171,9&7,
3/13/2021,Saturday,Jillian,8A,plant,2,,13:16,1:13:00,73,14:29,23,859,8&8,
3/13/2021,Saturday,Jillian,8A,organic,2,,13:16,1:15:00,75,14:31,24,543,8&8,
3/13/2021,Saturday,Jillian,8A,mineral,2,,13:16,1:17:00,77,14:33,25,411,8&8,
3/13/2021,Saturday,Jillian,9,plant,2,,13:17,1:18:00,78,14:35,26,725,8&7,
3/13/2021,Saturday,Jillian,9,organic,2,,13:17,1:20:00,80,14:37,27,1042,8&7,
3/13/2021,Saturday,Jillian,9,mineral,2,,13:17,1:22:00,82,14:39,28,669,8&7,
3/13/2021,Saturday,Jillian,14A,plant,2,,13:19,1:22:00,82,14:41,29,930,9&9,
3/13/2021,Saturday,Jillian,14A,organic,2,,13:19,1:24:00,84,14:43,30,741,8&9,
3/13/2021,Saturday,Jillian,16,plant,2,,13:19,1:26:00,86,14:45,31,756,8&8,
3/13/2021,Saturday,Jillian,16,organic,2,,13:19,1:28:00,88,14:47,32,601,8&7,
3/13/2021,Saturday,Jillian,16,mineral,2,,13:19,1:30:00,90,14:49,33,523,8&8,457
,,,,,,,,,,,,,,
3/15/2021,Monday,Emily,1C,plant,1,,13:29,1:21:00,81,14:50,1,710,9&9 22.8C in lab,
3/15/2021,Monday,Emily,1C,organic,1,,13:29,1:24:00,84,14:53,2,550,8&9,
3/15/2021,Monday,Emily,1C,mineral,1,,13:29,1:27:00,87,14:56,3,500,9&9,
3/15/2021,Monday,Emily,4B,plant,1,,13:29,1:30:00,90,14:59,4,900,8&8,
3/15/2021,Monday,Emily,4B,organic top,1,,13:29,1:32:00,92,15:01,5,876,9&9,
3/15/2021,Monday,Emily,4B,organic bottom,1,,13:30,1:33:00,93,15:03,6,565,9&10,
3/15/2021,Monday,Emily,6B,plant,1,,13:30,1:36:00,96,15:06,7,635,8&12,
3/15/2021,Monday,Emily,6B,organic,1,,13:30,1:39:00,99,15:09,8,767,9&9,
3/15/2021,Monday,Emily,6B,mineral,1,,13:30,1:41:00,101,15:11,9,589,8&8,
3/15/2021,Monday,Emily,10,plant,1,,13:30,1:43:00,103,15:13,10,929,8&9,
3/15/2021,Monday,Emily,10,organic,1,,13:30,1:46:00,106,15:16,11,577,8&9,
3/15/2021,Monday,Emily,13,plant,1,,13:30,1:49:00,109,15:19,12,906,8&8,
3/15/2021,Monday,Emily,13,organic,1,,13:30,1:51:00,111,15:21,13,565,8&8,
3/15/2021,Monday,Emily,13,mineral,1,,13:30,1:54:00,114,15:24,14,456,8&10,
3/15/2021,Monday,Emily,15,plant,1,,13:30,1:56:00,116,15:26,15,755,8&9,
3/15/2021,Monday,Emily,15,organic,1,,13:31,1:57:00,117,15:28,16,843,9&10,452
3/15/2021,Monday,Emily,3A,plant,2,,14:52,1:01:00,61,15:53,1,873,10&10,
3/15/2021,Monday,Emily,3A,organic,2,,14:52,1:04:00,64,15:56,2,528,9&11,
3/15/2021,Monday,Emily,3A,mineral,2,,14:52,1:07:00,67,15:59,3,519,8&10,
3/15/2021,Monday,Emily,7B,plant,2,,14:52,1:11:00,71,16:03,4,872,8&8,
3/15/2021,Monday,Emily,7B,organic top,2,,14:52,1:14:00,74,16:06,5,1127,9&8,
3/15/2021,Monday,Emily,7B,organic bottom,2,,14:53,1:15:00,75,16:08,6,923,8&8,
3/15/2021,Monday,Emily,8A,plant,2,,14:53,1:18:00,78,16:11,7,807,8&7,
3/15/2021,Monday,Emily,8A,organic,2,,14:53,1:21:00,81,16:14,8,701,8&7,
3/15/2021,Monday,Emily,8A,mineral,2,,14:53,1:23:00,83,16:16,9,442,8&9,
